0.5v,3v,6v,9v,12v,15v,18v,21v,24.5v
-1.8222109100374702,-1.9890338057287793,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.9469392484859063,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.9469392484859063,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.9469392484859063,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.6547157215086614,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.6547157215086614,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.6547157215086614,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-1.7174242836077203,-1.6547157215086614,-1.50376137675002,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-1.7114530050998218,-1.7174242836077203,-1.6547157215086614,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-2.159504533630661,-1.7114530050998218,-1.4387799608028715,-1.6547157215086614,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.6547157215086614,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.7342128722750407,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.6547157215086614,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.6986427106519444,-1.2411185099562883,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.6547157215086614,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6677931104661465
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.6499470693478084,-1.7114530050998218,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.7114530050998218,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.8222109100374702,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.2495487761476307,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.4387799608028715,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.2495487761476307,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.0208134765955736,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.2495487761476307,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.0208134765955736,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.2495487761476307,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.0208134765955736,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
-1.2495487761476307,-1.2630560680366894,-1.2411185099562883,-1.3102420931592604,-1.2078376038934109,-1.0208134765955736,-1.2163804310428197,-1.2185529601070655,-1.6120187400801886
