index,voltage,value
541,0.5v,0.5
542,0.5v,0.5
543,0.5v,0.5
544,0.5v,0.5
545,0.5v,0.5
546,0.5v,0.5
547,0.5v,0.5
548,0.5v,0.5
549,0.5v,0.5
550,0.5v,0.5
551,0.5v,0.5
552,0.5v,0.5
553,0.5v,0.5
554,0.5v,0.5
555,0.5v,0.5
556,0.5v,0.5
557,0.5v,0.5
558,0.5v,0.5
559,0.5v,0.5
560,0.5v,0.5
561,0.5v,0.5
562,0.5v,0.5
563,0.5v,0.5
564,0.5v,0.5
565,0.5v,0.5
566,0.5v,0.5
567,0.5v,0.5
568,0.5v,0.5
569,0.5v,0.5
570,0.5v,0.5
571,0.5v,0.5
572,0.5v,0.5
573,0.5v,0.5
574,0.5v,0.5
575,0.5v,0.5
576,0.5v,0.5
577,0.5v,0.5
578,0.5v,0.5
579,0.5v,0.5
580,0.5v,0.5
581,0.5v,0.5
582,0.5v,0.5
583,0.5v,0.5
584,0.5v,0.5
585,0.5v,0.5
586,0.5v,0.5
587,0.5v,0.5
588,0.5v,0.5
589,0.5v,0.5
590,0.5v,0.5
591,0.5v,0.5
592,0.5v,0.5
593,0.5v,0.5
594,0.5v,0.5
595,0.5v,0.5
596,0.5v,0.5
597,0.5v,0.5
598,0.5v,0.5
599,0.5v,0.5
600,0.5v,0.5
601,0.5v,0.5
602,0.5v,0.5
603,0.5v,0.5
604,0.5v,0.5
605,0.5v,0.5
606,0.5v,0.5
607,0.5v,0.5
608,0.5v,0.5
609,0.5v,0.5
610,0.5v,0.5
611,0.5v,0.5
612,0.5v,0.5
613,0.5v,0.5
614,0.5v,0.5
615,0.5v,0.5
616,0.5v,0.5
617,0.5v,0.5
618,0.5v,0.5
619,0.5v,0.5
620,0.5v,0.5
621,0.5v,0.5
622,0.5v,0.5
623,0.5v,0.5
624,0.5v,0.5
625,0.5v,0.5
626,0.5v,0.5
627,0.5v,0.5
628,0.5v,0.5
629,0.5v,0.5
630,0.5v,0.5
631,0.5v,0.5
632,0.5v,0.5
633,0.5v,0.5
634,0.5v,0.5
635,0.5v,0.5
636,0.5v,0.5
637,0.5v,0.5
638,0.5v,0.5
639,0.5v,0.5
640,0.5v,0.5
1010,3v,2.99
1011,3v,2.99
1012,3v,2.99
1013,3v,2.99
1014,3v,2.99
1015,3v,2.99
1016,3v,2.99
1017,3v,2.99
1018,3v,2.99
1019,3v,2.99
1020,3v,2.99
1021,3v,2.99
1022,3v,2.99
1023,3v,2.99
1024,3v,2.99
1025,3v,2.99
1026,3v,2.99
1027,3v,2.99
1028,3v,2.99
1029,3v,2.99
1030,3v,2.99
1031,3v,2.99
1032,3v,2.99
1033,3v,2.99
1034,3v,2.99
1035,3v,2.99
1036,3v,2.99
1037,3v,2.99
1038,3v,2.99
1039,3v,2.99
1040,3v,2.99
1041,3v,2.99
1042,3v,2.99
1043,3v,2.99
1044,3v,2.99
1045,3v,2.99
1046,3v,2.99
1047,3v,2.99
1048,3v,2.99
1049,3v,2.99
1050,3v,2.99
1051,3v,2.99
1052,3v,2.99
1053,3v,2.99
1054,3v,2.99
1055,3v,2.99
1056,3v,2.99
1057,3v,2.99
1058,3v,2.99
1059,3v,2.99
1060,3v,2.99
1061,3v,2.99
1062,3v,2.99
1063,3v,2.99
1064,3v,2.99
1065,3v,2.99
1066,3v,2.99
1067,3v,2.99
1068,3v,2.99
1069,3v,2.99
1070,3v,2.99
1071,3v,2.99
1072,3v,2.99
1073,3v,2.99
1074,3v,2.99
1075,3v,3.02
1076,3v,3.02
1077,3v,3.02
1078,3v,3.02
1079,3v,3.02
1080,3v,3.02
1081,3v,3.02
1082,3v,3.02
1083,3v,3.02
1084,3v,3.02
1085,3v,3.02
1086,3v,3.02
1087,3v,3.02
1088,3v,3.02
1089,3v,3.02
1090,3v,3.02
1091,3v,3.02
1092,3v,3.02
1093,3v,3.02
1094,3v,3.02
1095,3v,3.02
1096,3v,3.02
1097,3v,3.02
1098,3v,3.02
1099,3v,3.02
1100,3v,3.02
1101,3v,3.02
1102,3v,3.02
1103,3v,3.02
1104,3v,3.02
1105,3v,3.02
1106,3v,3.02
1107,3v,3.02
1108,3v,3.02
1109,3v,3.02
1110,3v,3.02
1111,3v,3.02
1112,3v,3.02
1113,3v,3.02
1114,3v,3.02
1115,3v,3.02
1116,3v,3.02
1117,3v,3.02
1118,3v,3.02
1119,3v,3.02
1120,3v,3.02
1121,3v,3.02
1122,3v,3.02
1123,3v,3.02
1124,3v,3.02
1125,3v,3.02
1126,3v,3.02
1127,3v,3.02
1128,3v,3.02
1129,3v,3.02
1130,3v,3.02
1131,3v,3.02
1132,3v,3.02
1133,3v,3.02
1134,3v,3.02
1135,3v,3.02
1136,3v,3.02
1137,3v,3.02
1138,3v,3.02
1139,3v,3.02
1140,3v,3.02
1141,3v,3.02
1142,3v,3.02
1143,3v,3.02
1144,3v,3.02
1145,3v,3.02
1146,3v,3.02
1147,3v,3.02
1148,3v,3.02
1149,3v,3.02
1150,3v,3.02
1151,3v,3.02
1152,3v,3.02
1153,3v,3.02
1154,3v,3.02
1155,3v,3.02
1156,3v,3.02
1157,3v,3.02
1158,3v,3.02
1159,3v,3.02
1160,3v,3.02
1161,3v,3.02
1162,3v,3.02
1163,3v,3.02
1164,3v,3.02
1165,3v,3.02
1166,3v,3.02
1167,3v,3.02
1168,3v,3.02
1169,3v,3.02
1170,3v,3.02
1171,3v,3.02
1172,3v,3.02
1173,3v,3.02
1174,3v,3.02
1175,3v,3.02
1176,3v,3.02
1177,3v,3.02
1178,3v,3.02
1179,3v,3.02
1180,3v,3.02
1181,3v,3.02
1182,3v,3.02
1183,3v,3.02
1184,3v,3.02
1185,3v,3.02
1186,3v,3.02
1187,3v,3.02
1188,3v,3.02
1189,3v,3.02
1190,3v,3.02
1191,3v,3.02
1192,3v,3.02
1193,3v,3.02
1194,3v,3.02
1195,3v,3.02
1196,3v,3.02
1197,3v,3.02
1198,3v,3.02
1199,3v,3.02
1200,3v,3.02
1201,3v,3.02
1202,3v,3.02
1203,3v,3.02
1204,3v,3.02
1205,3v,3.02
1206,3v,3.02
1207,3v,3.02
1208,3v,3.02
1209,3v,3.02
1210,3v,3.02
1211,3v,3.02
1212,3v,3.02
1213,3v,3.02
1214,3v,3.02
1215,3v,3.02
1216,3v,3.02
1217,3v,3.02
1218,3v,3.02
1219,3v,3.02
1220,3v,3.02
1221,3v,3.02
1222,3v,3.02
1223,3v,3.02
1224,3v,3.02
1225,3v,3.02
1226,3v,3.02
1227,3v,3.02
1228,3v,3.02
1229,3v,3.02
1230,3v,3.02
1231,3v,3.02
1232,3v,3.02
1233,3v,3.02
1234,3v,3.02
1235,3v,3.02
1236,3v,3.02
1237,3v,3.02
1238,3v,3.02
1239,3v,3.02
1240,3v,3.02
1241,3v,3.02
1242,3v,3.02
1243,3v,3.02
1244,3v,3.02
1245,3v,3.02
1246,3v,3.02
1247,3v,3.02
1248,3v,3.02
1249,3v,3.02
1250,3v,3.02
1251,3v,3.02
1252,3v,3.02
1253,3v,3.02
1254,3v,3.02
1255,3v,3.02
1256,3v,3.02
1257,3v,3.02
1258,3v,3.02
1259,3v,3.02
1260,3v,3.02
1261,3v,3.02
1262,3v,3.02
1263,3v,3.02
1264,3v,3.02
1265,3v,3.02
1266,3v,3.02
1267,3v,3.02
1268,3v,3.02
1269,3v,3.02
1270,3v,3.02
1271,3v,3.02
1272,3v,3.02
1273,3v,3.02
1274,3v,3.02
1275,3v,3.02
1276,3v,3.02
1277,3v,3.02
1278,3v,3.02
1279,3v,3.02
1280,3v,3.02
1281,3v,3.02
1282,3v,3.02
1283,3v,3.02
1284,3v,3.02
1285,3v,3.02
1286,3v,3.02
1287,3v,3.02
1288,3v,3.02
1289,3v,3.02
1290,3v,3.02
1291,3v,3.02
1292,3v,3.02
1293,3v,3.02
1294,3v,3.02
1295,3v,3.02
1296,3v,3.02
1297,3v,3.02
1298,3v,3.02
1299,3v,3.02
1300,3v,3.02
1301,3v,3.02
1302,3v,3.02
1303,3v,3.02
1304,3v,3.02
1305,3v,3.02
1306,3v,3.02
1307,3v,3.02
1308,3v,3.02
1309,3v,3.02
1310,3v,3.02
1311,3v,3.02
1312,3v,3.02
1313,3v,3.02
1314,3v,3.02
1315,3v,3.02
1316,3v,3.02
1317,3v,3.02
1318,3v,3.02
1319,3v,3.02
1320,3v,3.02
1321,3v,3.02
1322,3v,3.02
1323,3v,3.02
1324,3v,3.02
1325,3v,3.02
1326,3v,3.02
1327,3v,3.02
1328,3v,3.02
1329,3v,3.02
1330,3v,3.02
1331,3v,3.02
1332,3v,3.02
1333,3v,3.02
1334,3v,3.02
1335,3v,3.02
1336,3v,3.02
1337,3v,3.02
1338,3v,3.02
1339,3v,3.02
1340,3v,3.02
1341,3v,3.02
1342,3v,3.02
1343,3v,3.02
1344,3v,3.02
1345,3v,3.02
1346,3v,3.02
1347,3v,3.02
1348,3v,3.02
1349,3v,3.02
1350,3v,3.02
1351,3v,3.02
1352,3v,3.02
1353,3v,3.02
1354,3v,3.02
1355,3v,3.02
1356,3v,3.02
1357,3v,3.02
1358,3v,3.02
1359,3v,3.02
1360,3v,3.02
1361,3v,3.02
1362,3v,3.02
1363,3v,3.02
1364,3v,3.02
1365,3v,3.02
1366,3v,3.02
1367,3v,3.02
1368,3v,3.02
1369,3v,3.02
1370,3v,3.02
1371,3v,3.02
1372,3v,3.02
1373,3v,3.02
1374,3v,3.02
1375,3v,3.02
1376,3v,3.02
1377,3v,3.02
1378,3v,3.02
1379,3v,3.02
1380,3v,3.02
1381,3v,3.02
1382,3v,3.02
1383,3v,3.02
1384,3v,3.02
1385,3v,3.02
1386,3v,3.02
1387,3v,3.02
1388,3v,3.02
1389,3v,3.02
1390,3v,3.02
1391,3v,3.02
1392,3v,3.02
1393,3v,3.02
1394,3v,3.02
1395,3v,3.02
1396,3v,3.02
1397,3v,3.02
1398,3v,3.02
1399,3v,3.02
1400,3v,3.02
1401,3v,3.02
1402,3v,3.02
1403,3v,3.02
1404,3v,3.02
1405,3v,3.02
1406,3v,3.02
1407,3v,3.02
1408,3v,3.02
1409,3v,3.02
1410,3v,3.02
1411,3v,3.02
1412,3v,3.02
1413,3v,3.02
1414,3v,3.02
1415,3v,3.02
1416,3v,3.02
1417,3v,3.02
1418,3v,3.02
1419,3v,3.02
1420,3v,3.02
1421,3v,3.02
1422,3v,3.02
1423,3v,3.02
1424,3v,3.02
1425,3v,3.02
1426,3v,3.02
1427,3v,3.02
1428,3v,3.02
1429,3v,3.02
1430,3v,3.02
1431,3v,3.02
1432,3v,3.02
1433,3v,3.02
1434,3v,3.02
1435,3v,3.02
1436,3v,3.02
