0.5v,3v,6v,9v,12v,15v,18v,21v,24.5v
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-2.5087408389513417,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-1.8052855065408182,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-0.6214917317599352,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-0.6214917317599352,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
-1.227245433391318,-2.2734453721262176,-0.6214917317599352,-0.6836668696712774,-0.5677564235237909,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-0.9811027681603978
