index,voltage,value
646,0.5v,6.000000000000005
647,0.5v,6.000000000000005
648,0.5v,6.000000000000005
649,0.5v,6.000000000000005
650,0.5v,6.000000000000005
651,0.5v,6.000000000000005
652,0.5v,6.000000000000005
653,0.5v,6.000000000000005
654,0.5v,6.000000000000005
655,0.5v,6.000000000000005
656,0.5v,6.000000000000005
657,0.5v,6.000000000000005
658,0.5v,6.000000000000005
659,0.5v,6.000000000000005
660,0.5v,6.000000000000005
661,0.5v,6.000000000000005
662,0.5v,6.000000000000005
663,0.5v,6.000000000000005
664,0.5v,6.000000000000005
665,0.5v,6.000000000000005
666,0.5v,6.000000000000005
667,0.5v,6.000000000000005
668,0.5v,6.000000000000005
669,0.5v,6.000000000000005
670,0.5v,6.000000000000005
671,0.5v,6.000000000000005
672,0.5v,6.000000000000005
673,0.5v,6.000000000000005
674,0.5v,6.000000000000005
675,0.5v,6.000000000000005
676,0.5v,6.000000000000005
677,0.5v,6.000000000000005
678,0.5v,6.000000000000005
679,0.5v,6.000000000000005
680,0.5v,6.000000000000005
681,0.5v,6.000000000000005
682,0.5v,6.000000000000005
683,0.5v,6.000000000000005
684,0.5v,6.000000000000005
685,0.5v,6.000000000000005
686,0.5v,6.000000000000005
687,0.5v,6.000000000000005
688,0.5v,6.000000000000005
689,0.5v,6.000000000000005
690,0.5v,6.000000000000005
691,0.5v,6.000000000000005
692,0.5v,6.000000000000005
693,0.5v,6.000000000000005
694,0.5v,6.000000000000005
695,0.5v,6.000000000000005
696,0.5v,6.000000000000005
697,0.5v,6.000000000000005
698,0.5v,6.000000000000005
699,0.5v,6.000000000000005
700,0.5v,6.000000000000005
701,0.5v,6.000000000000005
702,0.5v,6.000000000000005
703,0.5v,6.000000000000005
704,0.5v,6.000000000000005
705,0.5v,6.000000000000005
706,0.5v,6.000000000000005
707,0.5v,6.000000000000005
708,0.5v,6.000000000000005
709,0.5v,6.000000000000005
710,0.5v,6.000000000000005
711,0.5v,6.000000000000005
712,0.5v,6.000000000000005
713,0.5v,6.000000000000005
714,0.5v,6.000000000000005
715,0.5v,6.000000000000005
716,0.5v,6.000000000000005
717,0.5v,6.000000000000005
718,0.5v,6.000000000000005
719,0.5v,6.000000000000005
